"#","Tipo","Ângulo","Dor ICP","Nível Consciência","Headline","Description","Texto Primário","CTA","Formato","Público","KV"
"1","ESTÁTICO","Cripto sem regra de saída","#1 Não sabe vender (145 menções)","3 — Consciente da solução","R$100 mil em cripto e sem regra de saída?","Um analista sênior olha sua carteira de cripto, compara com a estratégia do André Franco e te mostra o que ajustar. Gratuito.","Passaram quantas altas e você ficou olhando? Não vendeu no topo. Não vendeu na queda. E agora tá com aquele gostinho amargo de quem podia ter feito diferente. O problema nunca foi o mercado. Foi não ter uma regra escrita de quando sair. André Franco define a regra antes de entrar na posição. Faz isso desde 2016. Na análise gratuita, o analista sênior passa por 3 pontos da sua carteira de cripto: onde você tá exposto sem perceber, qual deveria ser sua regra de saída, e o que não faz sentido manter. Sem custo. Sem compromisso de contratação.","SIGN_UP","Feed 1080x1080","Morno + Quente","Foto André olhando câmera"
"2","ESTÁTICO","Lucro foi e voltou","#1 Não sabe vender (145 menções)","2 — Consciente do problema","R$100 mil em cripto e o lucro foi e voltou?","Na análise gratuita, o analista sênior compara sua carteira com a do André Franco e mostra os 3 ajustes que faltam.","Você viu o saldo subir. Ficou esperando subir mais. Caiu. E você ficou parado. Se isso já aconteceu mais de uma vez com seus R$100 mil em cripto, não é azar. É falta de processo. 54% dos investidores que ouvimos nas últimas 228 reuniões passam exatamente por isso. André Franco opera com limite de risco definido desde 2016. Sem fundo próprio, sem comissão de exchange. Na análise gratuita, um analista sênior olha especificamente pra sua carteira de cripto e te mostra: regra de saída, percentual de realização e o que fazer no próximo ciclo. Sem custo. Sem compromisso.","SIGN_UP","Story 1080x1920","Morno + Quente","Foto André confessional"
"3","ESTÁTICO","Patrimônio alto sem cripto","#2 Sem tempo/conhecimento (134 menções)","2 — Consciente do problema","R$500 mil investidos e nenhum real em cripto?","Na análise gratuita, o analista sênior mostra se cripto faz sentido pro seu patrimônio. E se faz, quanto e em qual.","Você sabe montar carteira. Renda fixa, ações, FIIs. Tem mais de R$500 mil e sabe o que faz ali dentro. Mas cripto ficou de fora. Não porque você acha que não presta. É porque ninguém te mostrou como entrar com o mesmo critério que você usa no resto. Quanto alocar. Em qual ativo. Qual a regra de saída. André Franco aplica em cripto o mesmo rigor que você já usa no tradicional. Desde 2016. Casa de análise independente. Sem fundo próprio, sem comissão de exchange. Honorário fixo. Na análise gratuita, o analista sênior olha pro seu patrimônio inteiro e te diz se cripto faz sentido ou não faz. Simples assim. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio","Foto André + gráfico alocação"
"4","ESTÁTICO","Medo com patrimônio alto","#3 Medo/ansiedade (87 menções)","2 — Consciente do problema","R$500 mil investidos e travado pra entrar em cripto?","O analista sênior avalia se cripto faz sentido no seu caso. Se não faz, te diz isso. Sem custo.","Você já leu sobre cripto. Já ouviu podcast. Já viu vídeo. E continua travado. Com mais de R$500 mil investidos, o que falta não é mais informação. É excesso de ruído. E medo de fazer besteira com dinheiro que demorou anos pra juntar. O que você precisa é de alguém que olhe pro que você já tem e te diga: faz sentido colocar cripto aqui ou não faz. André Franco faz exatamente isso desde 2016. Casa de análise independente. Se cripto não faz sentido pro seu caso, ele te diz isso. Na análise gratuita, o analista sênior avalia seu patrimônio e te dá uma direção clara. Sem custo. Sem compromisso de contratação.","SIGN_UP","Feed 1080x1080","Frio","Foto André olhar direto"
"5","ESTÁTICO","Método, não palpite","#2 Sem tempo (134 menções)","3 — Consciente da solução","R$100 mil em cripto merecem método. Não palpite.","O analista sênior compara sua carteira de cripto com a estratégia do André e mostra onde está o risco. Gratuito.","Você não precisa de mais dicas. Precisa de processo. Regra de saída antes de entrar. Percentual de alocação por ativo. Critério de rebalanceamento com tese documentada, não com palpite de grupo de Telegram. André Franco usa esse método desde 2016. Mesmo método, dois ciclos completos de alta e baixa. Sem fundo próprio. Sem comissão de exchange. Na análise gratuita, o analista sênior compara sua carteira de cripto com a estratégia do André. O que manter, o que ajustar, onde tá o risco que você não tá vendo. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (broad, LAL)","Foto André + método"
"6","ESTÁTICO","Confessional André","#3 Medo/ansiedade (87 menções)","3 — Consciente da solução","Eu também já fiquei refém do ciclo.","Na análise gratuita, meu time olha sua carteira de cripto e mostra o que eu faria diferente. Sem custo.","Nos primeiros anos em cripto, eu operava no instinto. Comprava na alta, segurava na queda, ficava olhando o saldo derreter sem saber o que fazer. Depois de quase 10 anos, a única coisa que mudou o jogo foi ter processo. Não foi um ativo mágico. Foi regra de saída escrita antes de entrar. Se você tem mais de R$100 mil em cripto e quer sair do achismo, meu time oferece uma análise gratuita da sua carteira. O analista sênior passa pelos pontos que eu olharia se fosse minha. Sem custo. Sem compromisso. André Franco, analista desde 2016. Boost Research.","SIGN_UP","Feed 1080x1080","Frio + Morno","Foto André casual"
"7","ESTÁTICO","Trauma altcoin","#6 Trauma de altcoin (52 menções)","2 — Consciente do problema","A altcoin que ia triplicar te deixou no prejuízo?","O analista sênior separa tese de hype na sua carteira e mostra o que faz sentido manter. Gratuito.","Comprou uma moeda que todo mundo falava. Subiu um pouco. Você não vendeu. Derreteu. E agora tá ali no portfólio, vermelha, te lembrando do erro toda vez que você abre o app. Se você tem mais de R$100 mil em cripto e metade são posições que entraram sem tese, você não precisa de mais coragem. Precisa de alguém que olhe pra sua carteira e separe o que tem fundamento do que era hype. André Franco analisa criptoativos desde 2016. Sem fundo próprio, sem comissão. Na análise gratuita, o analista sênior faz exatamente isso. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Morno","Foto André + tom sério"
"8","ESTÁTICO","Sem conflito","#1 + #2 (posicionamento Boost)","3 — Consciente da solução","R$100 mil em cripto merecem análise sem conflito de interesse.","A Boost não tem fundo, não cobra comissão de exchange, não vende token. Análise gratuita da sua carteira.","A maioria das análises de cripto que você encontra vem de quem ganha comissão se você comprar. Exchange cobra taxa. Influencer recebe patrocínio. Fundo quer o seu dinheiro dentro. A Boost Research não tem fundo próprio. Não ganha comissão de exchange. Não vende token. André Franco analisa desde 2016. Honorário fixo pago pelo cliente. Só isso. Na análise gratuita, o analista sênior olha sua carteira de cripto e te dá um diagnóstico honesto. O que manter, o que não faz sentido. Sem pressão pra contratar. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio + Morno","Boost institucional"
"9","ESTÁTICO","Curadoria, não conteúdo","#2 Sem tempo (134 menções)","3 — Consciente da solução","Você não precisa de mais conteúdo sobre cripto.","O analista sênior olha sua carteira de cripto e te diz o próximo passo. Análise gratuita.","Você já leu artigo. Já assistiu vídeo. Já ouviu podcast. E continua sem saber o que fazer com seus R$100 mil em cripto. O problema não é falta de informação. É o contrário. Excesso de ruído. O que você precisa não é de mais um vídeo explicando Bitcoin. É de alguém que olhe pro que você já tem e te diga: isso aqui faz sentido, isso não faz, e o próximo passo é esse. André Franco faz isso desde 2016. Na análise gratuita, o analista sênior olha sua carteira de cripto e te dá essa resposta. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (C-level)","Foto André escritório"
"10","ESTÁTICO","Sem tempo","#2 Sem tempo (134 menções)","3 — Consciente da solução","R$100 mil em cripto e sem tempo pra acompanhar?","O analista sênior monta um processo pra você acompanhar cripto em 15 minutos por semana. Gratuito.","Você tem mais de R$100 mil em cripto e trabalha o dia inteiro. Não tem 3 horas por dia pra acompanhar mercado. Nem precisa. O que precisa é de um processo montado por quem acompanha há quase 10 anos. Pra você executar em 15 minutos por semana. André Franco. Boost Research. Sem fundo próprio, sem comissão. Na análise gratuita, o analista sênior monta esse processo junto com você. O que exige sua atenção e o que não exige. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (C-level)","Foto André + 15 min"
"11","VÍDEO","Quando vender","#1 Não sabe vender (145 menções)","3 — Consciente da solução","R$100 mil em cripto e não sabe quando vender?","Na análise gratuita, o analista sênior mostra como montar sua regra de saída. Sem custo.","[0-5s] Você já viu o Bitcoin subir 300%, não vendeu, e depois viu cair 80%? Se você tem mais de R$100 mil em cripto, presta atenção. [5-20s] Isso aconteceu em 2017. Aconteceu em 2021. Vai acontecer de novo. E a maioria não perde porque comprou errado. Perde porque não tinha regra de saída. [20-35s] Eu acompanho investidores com mais de R$100 mil em cripto nessa situação desde 2016. O padrão é sempre o mesmo. [35-50s] Boost Research. Casa de análise independente. Sem fundo próprio, sem comissão de exchange. [50-90s] Na análise gratuita, o analista sênior mostra como montar a sua regra: alvo de preço, stop de perda, percentual de realização. [90-120s] analise.boostresearch.com.br. Sem custo. Investimentos em criptoativos envolvem riscos.","SIGN_UP","In-stream 2min","Frio + Morno","André câmera + gráficos"
"12","VÍDEO","Sem tempo","#2 Sem tempo (134 menções)","3 — Consciente da solução","R$100 mil em cripto e trabalha 12h por dia?","O analista sênior monta um processo pra você acompanhar cripto em 15 minutos por semana.","[0-5s] Você tem mais de R$100 mil em cripto e trabalha 12 horas por dia. Não tem tempo pra acompanhar o mercado? Normal. [5-15s] A maioria dos nossos clientes também não tem. E tudo bem. [15-30s] O que você precisa não é de mais conteúdo. É de alguém que faça a análise e te entregue a decisão pronta. Eu faço a análise. Você toma a decisão. [30-45s] André Franco. Boost Research. Sem fundo, sem comissão. Desde 2016. [45-60s] Na análise gratuita, o analista sênior monta esse processo junto com você. Sem custo. Sem compromisso. Investimentos em criptoativos envolvem riscos.","SIGN_UP","In-stream 60s","Frio + Morno","André conversa natural"
"13","VÍDEO","Hold não é estratégia","#1 Não sabe vender (145 menções)","2 — Consciente do problema","Hold não é estratégia. É fé.","Na análise gratuita, o analista sênior mostra como sair do hold e montar uma regra de saída real.","[0-5s] Hold não é estratégia. É fé. Se você tem mais de R$100 mil em cripto, precisa de mais que isso. [5-20s] Você segurou esperando subir mais. Subiu, caiu, e você ficou olhando. Sem regra de saída, você tá apostando. [20-35s] Eu vejo investidores com R$100 mil, R$500 mil em cripto passando por isso toda semana desde 2016. [35-50s] Boost Research. Sem fundo, sem comissão. Honorário fixo. [50-80s] Na análise gratuita, o analista sênior mostra como sair do hold e montar regra de saída real: alvo, stop, percentual de realização parcial. [80-100s] analise.boostresearch.com.br. Investimentos envolvem riscos.","SIGN_UP","In-stream 90s","Morno + Quente","André confessional"
"14","VÍDEO","3 erros","#1 + #2 + #6 (compilação)","2 — Consciente do problema","R$100 mil em cripto? Você provavelmente comete 2 desses erros.","Na análise gratuita, o analista sênior corrige os 3 de uma vez. Sem custo.","[0-3s] Três erros. Se você tem mais de R$100 mil em cripto, provavelmente comete dois deles. [3-12s] Um: comprar sem regra de saída. Sem ponto de realização, você fica refém do ciclo. [12-22s] Dois: tratar cripto separado do resto do portfólio. Cripto interage com suas outras posições. Ignorar isso é diversificar pela metade. [22-32s] Três: seguir palpite em vez de tese. Se não sabe explicar por que comprou, não vai saber quando vender. [32-42s] Na análise gratuita, o analista sênior corrige os três. analise.boostresearch.com.br. Investimentos envolvem riscos.","SIGN_UP","Shorts 40s","Frio + Morno","André ritmo rápido"
