"#","Tipo","Ângulo","Dor ICP","Headline","Description","Texto Primário","CTA","Formato","Público","KV"
"1","ESTÁTICO","Cripto sem método","#1 Não sabe vender (145 menções)","R$100 mil em cripto e sem regra de saída?","Análise da carteira gratuita","Você tem mais de R$100 mil em cripto. Talvez tenha multiplicado parte. Mas se te perguntarem qual sua regra de saída, você não tem resposta. Passaram quantas altas e você não realizou? André Franco define a regra antes de entrar na posição. Desde 2016. Na análise gratuita, o analista sênior mostra: quando vender, quanto realizar, o que fazer no próximo ciclo. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Quente + Morno","Foto André olhando câmera"
"2","ESTÁTICO","Lucro foi e voltou","#1 Não sabe vender (145 menções)","R$100 mil em cripto e o lucro foi e voltou?","Análise da carteira gratuita","Você viu o saldo subir. Não vendeu. Viu cair. Ficou olhando. E agora tá com aquele gostinho amargo de quem podia ter feito diferente. Se você tem mais de R$100 mil em cripto e não tem regra de saída escrita, está no mesmo lugar que 54% dos investidores que ouvimos. André Franco opera com limite de risco definido desde 2016. Na análise gratuita, um analista sênior olha pra sua carteira e te mostra os 3 pontos que você precisa ajustar. Sem custo. Sem compromisso.","SIGN_UP","Story 1080x1920","Morno + Quente","Foto André confessional"
"3","ESTÁTICO","Tradicional quer alocar cripto","#2 Sem tempo/conhecimento (134 menções)","Mais de R$500 mil investidos e zero em cripto?","Análise da carteira gratuita","Você tem mais de R$500 mil em ações, renda fixa, FIIs. Sabe o que faz ali dentro. Mas quando o assunto é cripto, a sensação é de começar do zero. Quanto colocar? Em qual? Quando sair? André Franco analisa criptoativos desde 2016. Sem fundo próprio, sem comissão de exchange. Na análise gratuita, o analista sênior olha pra sua carteira inteira e te mostra onde faz sentido alocar cripto e onde não faz. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio + Morno","Foto André + texto carteira"
"4","ESTÁTICO","Medo com patrimônio alto","#3 Medo/ansiedade (87 menções)","R$500 mil investidos e medo de entrar em cripto?","Análise da carteira gratuita","Medo de cripto não é falta de informação. É excesso de ruído. Você já leu, já ouviu podcast, já viu vídeo. E continua travado. Com mais de R$500 mil investidos, o que falta não é mais conteúdo. É alguém que olhe pro que você já tem e te diga: faz sentido ou não faz. André Franco faz isso desde 2016. Casa de análise independente. Honorário fixo. Na análise gratuita, um analista sênior avalia sua carteira e te dá direção. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio","Foto André olhar direto + fundo neutro"
"5","ESTÁTICO","Método, não palpite","#2 Sem tempo (134 menções)","R$100 mil em cripto merecem método, não palpite.","Análise da carteira gratuita","Você tem mais de R$100 mil em cripto. Precisa de mais do que dicas. Precisa de processo: regra de saída antes de entrar, percentual de alocação por ativo, critério de rebalanceamento com tese documentada. André Franco usa esse método desde 2016. Sem fundo próprio, sem comissão de exchange. Na análise gratuita, o analista sênior compara sua carteira com a estratégia do André. O que manter, o que ajustar, onde está o risco. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (broad, LAL)","Foto André + R$100mil cripto"
"6","ESTÁTICO","Confessional André","#3 Medo/ansiedade (87 menções)","Eu também já fiquei refém do ciclo.","Análise da carteira gratuita","Nos primeiros anos em cripto, eu operava no instinto. Comprava na alta, segurava na queda, não sabia quando vender. Depois de quase 10 anos, a única coisa que mudou o jogo foi ter processo. Se você tem mais de R$100 mil em cripto e quer sair do achismo, meu time oferece uma análise gratuita da sua carteira. Sem custo. Sem compromisso. André Franco, analista desde 2016. Boost Research.","SIGN_UP","Feed 1080x1080","Frio + Morno","Foto André casual + 10 anos"
"7","ESTÁTICO","Trauma altcoin","#6 Trauma de altcoin (52 menções)","A altcoin que ia triplicar te deixou no prejuízo?","Análise da carteira gratuita","Comprou uma moeda que todo mundo falava. Subiu um pouco. Você não vendeu. Derreteu. E agora tá ali no portfólio, vermelha, te lembrando do erro. Se você tem mais de R$100 mil em cripto e quer separar tese de hype, a Boost Research oferece análise gratuita da carteira. André Franco analisa criptoativos desde 2016. Sem fundo próprio, sem comissão. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Morno","Foto André + tom sério"
"8","ESTÁTICO","Sem conflito","#1 + #2 (posicionamento Boost)","R$100 mil em cripto merecem análise sem conflito de interesse.","Análise da carteira gratuita","Quando você tem mais de R$100 mil em cripto, a maioria das análises vem de quem ganha comissão se você comprar. O Boost Research não tem fundo próprio. Não ganha comissão de exchange. Não vende token. André Franco analisa desde 2016. Honorário fixo. Na análise gratuita: diagnóstico honesto da sua carteira, o que manter, o que não faz sentido. Sem pressão. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio + Morno","Boost institucional"
"9","ESTÁTICO","Curadoria, não conteúdo","#2 Sem tempo (134 menções)","Você não precisa de mais conteúdo sobre cripto.","Análise da carteira gratuita","Você já leu artigo. Já assistiu vídeo. Já ouviu podcast. E continua sem saber o que fazer com seus R$100 mil em cripto. O problema não é informação. É excesso de ruído. O que você precisa é de alguém que olhe pro que você tem e te diga o próximo passo. André Franco faz isso desde 2016. Análise gratuita da carteira. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (C-level)","Foto André escritório"
"10","ESTÁTICO","Sem tempo","#2 Sem tempo (134 menções)","R$100 mil em cripto e sem tempo pra acompanhar?","Análise da carteira gratuita","Você tem mais de R$100 mil em cripto e não tem 3 horas por dia pra acompanhar o mercado. Nem precisa. O que precisa é de um processo montado por quem acompanha há quase 10 anos. Pra você executar em 15 minutos por semana. André Franco. Boost Research. Sem fundo próprio, sem comissão. Análise gratuita da carteira. Sem custo. Sem compromisso.","SIGN_UP","Feed 1080x1080","Frio (C-level)","Foto André + 15 min por semana"
